A̱o,Trimestre,Ingresos (miles de pesos),Periodo
2022,3,67055.93,Jul-Sept 2022
2022,2,60335.724,Abr-Jun 2022
2022,1,55589.997,Ene-Mar 2022
2021,4,45467.887,Oct-Dic 2021
2021,3,42999.944,Jul-Sept 2021
2021,2,38239.667,Abr-Jun 2021
2021,1,36676.371,Ene-Mar 2021
2020,4,33539.703,Oct-Dic 2020
2020,3,31997.445,Jul-Sept 2020
2020,2,32102.476,Abr-Jun 2020
2020,1,29946.216,Ene-Mar 2020
2019,4,24169.251,Oct-Dic 2019
2019,3,21652.748,Jul-Sept 2019
2019,2,20743.118,Abr-Jun 2019
2019,1,20207.414,Ene-Mar 2019
2018,4,16637.687,Oct-Dic 2018
2018,3,15410.981,Jul-Sept 2018
2018,2,14319.467,Abr-Jun 2018
2018,1,13171.459,Ene-Mar 2018
2017,4,11226.127,Oct-Dic 2017
2017,3,10065.998,Jul-Sept 2017
2017,2,9786.7,Abr-Jun 2017
2017,1,8012.1,Ene-Mar 2017
2016,4,7839.0,Oct-Dic 2016
2016,3,6124.2,Jul-Sept 2016
2016,2,6342.1,Abr-Jun 2016
2016,1,5368.5,Ene-Mar 2016
2015,4,5768.9,Oct-Dic 2015
2015,3,5537.9,Jul-Sept 2015
2015,2,4017.1,Abr-Jun 2015
2015,1,4763.5,Ene-Mar 2015
2014,4,3504.1,Oct-Dic 2014
2014,3,3786.8,Jul-Sept 2014
2014,2,3708.6,Abr-Jun 2014
2014,1,2840.4,Ene-Mar 2014
